date,cost,nominal
1/1/1946,17.63,1.17
1/2/1946,17.73,1.17
1/3/1946,17.54,1.17
1/4/1946,18.93,1.27
1/5/1946,18.83,1.27
1/6/1946,18.63,1.27
1/7/1946,17.59,1.27
1/8/1946,20.64,1.52
1/9/1946,20.44,1.52
1/10/1946,20.05,1.52
1/11/1946,19.57,1.52
1/12/1946,20.67,1.62
1/1/1947,20.67,1.62
1/2/1947,20.67,1.62
1/3/1947,20.29,1.62
1/4/1947,23.42,1.87
1/5/1947,23.42,1.87
1/6/1947,23.32,1.87
1/7/1947,23.11,1.87
1/8/1947,22.8,1.87
1/9/1947,22.3,1.87
10/1/1947,22.3,1.87
11/1/1947,24.58,2.07
12/1/1947,24.27,2.07
1/1/1948,29.75,2.57
2/1/1948,30,2.57
3/1/1948,30.13,2.57
4/1/1948,29.62,2.57
5/1/1948,29.5,2.57
6/1/1948,29.25,2.57
7/1/1948,28.89,2.57
8/1/1948,28.77,2.57
9/1/1948,28.77,2.57
10/1/1948,28.89,2.57
11/1/1948,29.13,2.57
12/1/1948,29.25,2.57
1/1/1949,29.38,2.57
2/1/1949,29.62,2.57
3/1/1949,29.62,2.57
4/1/1949,29.5,2.57
5/1/1949,29.62,2.57
6/1/1949,29.5,2.57
7/1/1949,29.75,2.57
8/1/1949,29.62,2.57
9/1/1949,29.5,2.57
10/1/1949,29.75,2.57
11/1/1949,29.62,2.57
12/1/1949,29.87,2.57
1/1/1950,30,2.57
2/1/1950,30,2.57
3/1/1950,29.87,2.57
4/1/1950,29.87,2.57
5/1/1950,29.75,2.57
6/1/1950,29.62,2.57
7/1/1950,29.25,2.57
8/1/1950,29.01,2.57
9/1/1950,28.89,2.57
10/1/1950,28.66,2.57
11/1/1950,28.54,2.57
12/1/1950,28.2,2.57
1/1/1951,27.76,2.57
2/1/1951,27.43,2.57
3/1/1951,27.32,2.57
4/1/1951,27.32,2.57
5/1/1951,27.22,2.57
6/1/1951,27.22,2.57
7/1/1951,27.22,2.57
8/1/1951,27.22,2.57
9/1/1951,27.01,2.57
10/1/1951,26.91,2.57
11/1/1951,26.7,2.57
12/1/1951,26.6,2.57
1/1/1952,26.6,2.57
2/1/1952,26.81,2.57
3/1/1952,26.81,2.57
4/1/1952,26.7,2.57
5/1/1952,26.7,2.57
6/1/1952,26.6,2.57
7/1/1952,26.4,2.57
8/1/1952,26.4,2.57
9/1/1952,26.4,2.57
10/1/1952,26.4,2.57
11/1/1952,26.4,2.57
12/1/1952,26.4,2.57
1/1/1953,26.5,2.57
2/1/1953,26.6,2.57
3/1/1953,26.5,2.57
4/1/1953,26.5,2.57
5/1/1953,26.4,2.57
6/1/1953,28.86,2.82
7/1/1953,28.86,2.82
8/1/1953,28.76,2.82
9/1/1953,28.76,2.82
10/1/1953,28.65,2.82
11/1/1953,28.76,2.82
12/1/1953,28.76,2.82
1/1/1954,28.76,2.82
2/1/1954,28.76,2.82
3/1/1954,28.76,2.82
4/1/1954,28.86,2.82
5/1/1954,28.76,2.82
6/1/1954,28.76,2.82
7/1/1954,28.76,2.82
8/1/1954,28.76,2.82
9/1/1954,28.86,2.82
10/1/1954,28.86,2.82
11/1/1954,28.86,2.82
12/1/1954,28.97,2.82
1/1/1955,28.97,2.82
2/1/1955,28.97,2.82
3/1/1955,28.97,2.82
4/1/1955,28.97,2.82
5/1/1955,28.97,2.82
6/1/1955,28.97,2.82
7/1/1955,28.86,2.82
8/1/1955,28.86,2.82
9/1/1955,28.76,2.82
10/1/1955,28.76,2.82
11/1/1955,28.76,2.82
12/1/1955,28.86,2.82
1/1/1956,28.86,2.82
2/1/1956,28.86,2.82
